name,time,day,utilization,lon,lat,geometry,Subarea,Shape_Leng,Shape_Area
10th & G St NW,17,6,0.34782608695652173,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,18,4,0.13043478260869565,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,18,6,0.2956521739130435,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,19,4,0.16304347826086957,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,19,6,0.28695652173913044,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,20,4,0.11956521739130435,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,20,6,0.391304347826087,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,21,4,0.043478260869565216,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,21,6,0.391304347826087,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,22,4,0.043478260869565216,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,22,6,0.4,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,23,4,0.08695652173913043,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & G St NW,23,6,0.4,-77.02623546123505,38.89824328774852,"c(-77.026235461235, 38.8982432877485)",Metro Center / 15th Street,3952.71875898,848751.313044
10th & K St NW,0,4,0.2391304347826087,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,0,6,0.23478260869565215,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,1,4,0.2826086956521739,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,1,6,0.2608695652173913,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,2,4,0.2753623188405797,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,2,6,0.23478260869565218,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,3,4,0.2753623188405797,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,3,6,0.21739130434782608,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,4,4,0.2826086956521739,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,4,6,0.21739130434782608,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,5,4,0.2971014492753623,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,5,6,0.22608695652173913,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,6,4,0.2826086956521739,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,6,6,0.23478260869565218,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,7,4,0.34782608695652173,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,7,6,0.2782608695652174,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,8,4,0.34057971014492755,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,8,6,0.26956521739130435,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,9,4,0.5144927536231884,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,9,6,0.30434782608695654,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,10,4,0.5144927536231885,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,10,6,0.30434782608695654,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,11,4,0.47101449275362317,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,11,6,0.33043478260869563,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,12,4,0.44202898550724634,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,12,6,0.28695652173913044,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,13,4,0.391304347826087,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,13,6,0.3217391304347826,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,14,4,0.36231884057971014,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,14,6,0.3391304347826087,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,15,4,0.34782608695652173,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,15,6,0.3565217391304348,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,16,4,0.33695652173913043,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,16,6,0.41739130434782606,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,17,4,0.31521739130434784,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,17,6,0.391304347826087,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,18,4,0.18478260869565216,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,18,6,0.5217391304347826,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,19,4,0.13043478260869565,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,19,6,0.5217391304347826,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,20,4,0.08695652173913043,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,20,6,0.4608695652173913,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
10th & K St NW,21,4,0.13043478260869565,-77.02622,38.9024,"c(-77.02622, 38.9024)",McPherson Square / Franklin Park,4367.29977514,997250.917853
